country,year,cereal_yield,fdi_perc_gdp,en_per_gdp,en_per_cap,co2_ttl,co2_per_cap,co2_per_gdp,pop_urb_aggl_perc,prot_area_perc,gdp,gni_per_cap,under_5_mort_rate,pop_growth_perc,pop,urb_pop_growth_perc,urb_pop
SAU,2004,4675.1,-0.133546945953806,309.199599442019,6190.53697747548,346018.12,14.9057290012431,744.4984907359619,38.9682941161596,31.2943930592,250338933333.333,10530.0,21.8,3.86187155193834,23213767.0,4.2585007283213,18766009.2428
SAU,2005,4753.2,3.83634825744912,296.670717153173,6053.80532251498,367033.697,15.2669159368475,748.1652710001821,38.754390603165,31.2943930592,315580048570.895,12230.0,21.0,3.50200233690122,24041116.0,4.21690739084245,19574276.6472
SAU,2006,5047.1,5.13626653868243,312.632472740018,6379.73508752376,383399.518,15.4600095744113,757.602150484992,38.6821901917447,31.2943930592,356630440587.45,13630.0,20.2,3.10553797583892,24799436.0,3.81536839478096,20335537.52
SAU,2007,5121.7,6.32226508329001,279.131541824265,5650.42697321411,397121.432,15.5708395362391,769.200711353737,38.6995016031884,31.2943930592,384891141942.369,14790.0,19.5,2.80212924854361,25504176.0,3.50695656791273,21061348.5408
SAU,2008,5218.2,8.28356161081606,286.327414566194,5888.24579266753,433556.744,16.5690650602854,805.703044257825,38.7661250648201,31.2943930592,476304800000.0,16790.0,18.9,2.56430753325662,26166639.0,2.37036807852934,21566543.8638
SYR,1991,922.3,0.415965901066875,284.50776817061,898.502251701177,43193.593,3.40370134930284,1077.77078196072,30.8912724111228,0.253370240298,12981833333.3333,1000.0,35.8,2.97033069146704,12690183.0,3.4166679819783,6235955.9262
SYR,1992,1174.6,0.430072936034512,239.879932654346,835.049435358558,44436.706,3.40161273197691,977.162067910886,30.8817604696717,0.253369922292,13253565901.0698,1120.0,33.8,2.9411711399276,13063423.0,3.38596019136911,6450718.2774
SYR,1993,1489.1,0.795855010865734,229.217113093171,815.813377370999,47117.283,3.50606352546831,985.090195773589,30.8928796390213,0.253369604233,13695962017.1807,1080.0,31.8,2.87348882448344,13438799.0,3.31782778139333,6668332.0638
SYR,1994,1536.6,2.47974218584828,222.161690886031,828.373299856496,48532.745,3.51448464370044,942.550721000714,30.9429358328188,0.253369286174,10122020000.0,980.0,29.8,2.75731484636388,13809349.0,3.20249554049403,6885341.4114
SYR,1995,1661.3,0.877446473138053,223.107241461532,857.274190555023,51558.02,3.6382433863778,946.85977327147,31.0671767177353,0.253368968061,11396706586.8263,910.0,28.4,2.6198266116672,14171130.0,3.06628999043031,7099736.13
SYR,1996,1853.0,0.645415766215005,226.609316396179,887.27207808501,51022.638,3.51423581066343,897.535935570273,31.2524696354937,0.254018802038,13789560878.2435,870.0,27.0,2.45367165497743,14518843.0,3.02106935475052,7317496.872
SYR,1997,1273.0,0.55152505755185,248.141071590268,966.589425316818,52295.087,3.52002246294946,903.653736633628,31.4779075290056,0.254018459484,14505233969.8054,870.0,25.7,2.32539879382949,14856464.0,2.89224692280733,7532227.248
